id,authors,title,venue_name,venue_vol,venue_date
benford1995b,Steve Benford; John Bowers; Lennart Fahlen; Chris Greenhalg; John Mariani; and Tom Rodden.,Networked Virtual realitty and Cooperative Work.,Presence,4(4),1995.
brown1992a,Brown; D. F.; Moura; H. and Watt,"Actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,"(1992b),"
brown1992a,Brown; D. F.; Moura; H. and Watt,"Actress: an action semantics directed compiler generator,",`Proceedings of the International Workshop on Compiler Construction (CC-92)',,"(1992b),"
brown1992a,D. F. Brown; H. Moura; and D. A. Watt. Actress:,an action semantics directed compiler generator.,Proceedings of the 4th International Conference on Compiler Construction (CC'92),,October 1992.
buth1992a,B. Buth; K.-H. Buth; M. Franzle; B. v. Karger; Y. Lakhneche; H. Langmaack; and M. Muller-Olm.,Provably correct compiler development and implementation.,Compiler Construction,,1992.
buth1992a,B. Buth et. al.,"Provably Correct Compiler Implementation,",Compiler Construction,,"1992,"
buth1992a,B. Buth et. al.,"Provably Correct Compiler Implementation,",Compiler Construction,,"1992,"
buth1992a,B. Buth et. al.,"Provably Correct Compiler Implementation,",Compiler Construction,,"1992,"
buth1992a,Bettina Buth; Karl-Heinz Buth; Martin Franzle; Burghard von Karger; Yassine Lakhneche; Hans Langmaack; and Markus Muller-Olm.,Provably correct compiler development and implementation.,Compiler Construction number 641 in Lecture Notes in Computer Science,,1992.
carlson1993a,Carlson; C.; L.E.Fahln.; Conklin,Integrated CSCW Tools Within a Shared 3D Virtual Environment. Hypertext: An Introduction and Survey.,In Computer Supported Cooperative Work: A Book of Readings.,,1993. 1985.
cramer1985a,Cramer,A representation for the adaptive generation of simple sequential programs.,Proceedings of an International Conference on Genetic Algorithms and Their Applications,,(1985).
daelemans1995a,Daelemans; Van den Bosch; and Weijters,"IG-tree: A variant of IBL. submitted. Available from request to antal@cs.rulimburg.nl Fahlman, (1990). The Cascade-correlation Learning Architecture.",,,(1995).
deb1989a,,An investigation of niche and species formation in genetic function op-timization.,Proceedings of the Third International Conference on Genetic Algorithms,,
deb1989a,,An investigation of niche and species formation in genetic function optimization.,Proceedings of the Third International Conference on Genetic Algorithms,,(1989).
deb1989a,,An investigation of niche and species formation in genetic function optimization.,Proceedings of the Third International Conference on Genetic Algorithms,,(1989).
dempster1977a,Dempster; Laird; and Rubin,Maximum likelihood from incomplete data via the EM algorithm.,Journal of the Royal Statistical Society B,39,(1977).
dempster1977a,Dempster; Laird; and Rubin,Maximum likelihood from incomplete data via the EM algorithm.,Journal of the Royal Statistical Society B,39,(1977).
dill1997a,M. Dill and M.,Fahle Limited Translation Invari-ance of Human Visual Pattern Recognition.,Perception and Psychophysics (in press).,,(1997a)
dill1997a,M. Dill and M.,Fahle Limited Translation Invari-ance of Human Visual Pattern Recognition.,Perception and Psychophysics (in press).,,(1997a)
dill1997b,M. Dill and M.,Fahle The Role of Visual Field Position in Pattern-Discrimination Learning.,Proceedings of the Royal Society London B (in press).,,(1997b)
dill1997b,M. Dill and M.,Fahle The Role of Visual Field Position in Pattern-Discrimination Learning.,Proceedings of the Royal Society London B (in press).,,(1997b)
dutta1988a,Dutta; S. and Shekhar,Bond rating: A non-conservative application of neural networks.,In International Joint Conference on Neural Networks,volume 2,1988.
fahle1981a,M. Fahle and T. Poggio.,Visual hyperacuity: spatiotemporal interpolation in human vision.,Proceedings of the Royal Society of London B,213,1981.
fahle1991a,Fahle,"(1991) Parallel perception of vernier offsets, curvature, and chevrons in humans.",Vis. Res.,31:,
fahle1992a,Fahle; M. W. and Edelman,Learning in hyperacuity: influence of stimulus range and of feedback.,Vision Research.,,(1992).
fahle1993a,M Fahle and S Edelman.,"Long-term learning in Vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33(3),1993.
fahle1993a,Fahle; M. and Edelman,"Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback.",Vision Research,33,(1993).
fahle1993a,Fahle; M. and Edelman,"Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback.",Vision Research,33,(1993)
fahle1995a,Fahle; Edelman; and Poggio,Fast perceptual learning in hyperacuity.,Vision Research,35,(1995).
fahle1995a,Fahle; Edelman; and Poggio,Fast perceptual learning in hyperacuity.,Vision Research,35,(1995).
fahle1995a,Fahle; Edelman; and Poggio,Fast perceptual learning in hyperacuity.,Vision Research,35,(1995).
fahle1995a,Fahle; Edelman; and Poggio,Fast perceptual learning in hyperacuity.,Vision Research,35,(1995)
fahle1997a,Fahle,"Specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),(1997).
fahle1997a,Fahle,"Specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),(1997)
fahlen1993a,Lennart E. Fahlen; Charles Grant Brown; Olov Stahl; and Christer Carlsson.,A space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,April 1993.
fahlen1993a,Lennart E. Fahlen; Charles Grant Brown; Olov Stahl; and Christer Carlsson.,A space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,April 1993.
fahlen1993a,Lennart E. Fahlen; Charles Grant Brown; Olov Stahl; and Christer Carlsson.,A space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,April 1993.
fahlen1993a,Lennart E. Fahlen; Charles Grant Brown; Olov Stahl; and Christer Carlsson.,A space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,April 1993.
fahlen1993a,Lennart E. Fahlen; Charles Grant Brown; Olov Stahl; and Christer Carlsson.,A space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,April 1993.
fahlman1974a,S. Fahlman,"""A planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974.
fahlman1974a,S. Fahlman,"""A planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974.
fahlman1974a,Scott Elliott Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.
fahlman1974a,Scott Elliott Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.
fahlman1974a,Fahlman,A Planning System for Robot Construction Tasks.,Artificial Intelligence,5 (1),(1974).
fahlman1974a,Fahlman,A Planning System for Robot Construction Tasks.,Artificial Intelligence,5(1),1974.
fahlman1974a,S. E. Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5,1974.
fahlman1974a,S. E. Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5,1974.
fahlman1974a,S.E. Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5,1974.
fahlman1974a,S Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5,1974.
fahlman1974a,S. F. Fahlman.,A planning system for robot construction tasks.,Artifical Intel-lignece 5:pp.,,1974.
fahlman1974a,S. E. Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5,1974.
fahlman1974a,Scott Elliott Fahlman.,A planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.
fahlman1979a,Fahlman,"NETL: A system for representing and using real world knowledge,",,,1979.
fahlman1979a,S. E. Fahlman.,NETL: A System for Representing and Using Real World Knowledge.,,,1979.
fahlman1979a,Fahlman,NETL: A system for representing and using real world knowledge.,,,(1979).
fahlman1979a,Fahlman,NETL: A System for Representing and Using Real World Knowledge.,,,(1979).
fahlman1979a,Fahlman,NETL: A System for Representing and Using Real World Knowledge.,,,(1979).
fahlman1979a,Fahlman,NETL: A System for Representing and Using Real-World Knowledge.,,,(1979).
fahlman1979a,Fahlman,NETL: A System for Representing and Using Real-World Knowledge.,,,(1979).
fahlman1979a,Fahlman,NETL: A System for Representing and Using Real-World Knowledge.,,,(1979).
fahlman1979a,Fahlman,"NETL: A System for Representing and Using Real World Knowledge,",,,1979.
fahlman1979a,Fahlman,"NETL: A System for Representing and Using Real World Knowledge,",,,1979.
fahlman1979a,Fahlman,"NETL: A System for Representing and Using Real World Knowledge,",,,1979.
fahlman1979a,Fahlman,"NETL: A System for Representing and Using Real World Knowledge, Cam-bridge:",,,1979.
fahlman1979a,Fahlman,"NETL: A system for representing and using real world knowledge,",,,1979.
fahlman1979a,Fahlman,NETL: A System for Representing and Using Real-World Knowledge.,,,(1979).
fahlman1979a,Scott E. Fahlman.,NETL: A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,S. E. Fahlman.,NETL : a System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,S.E. Fahlman.,"NETL: A system for representing real-world knowledge,",,,
fahlman1979a,Scott E. Fahlman.,A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,Scott E. Fahlman.,A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,Scott E. Fahlman.,NETL: A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,S. Fahlman,NETL: A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,Scott E. Fahlman.,NETL: A System for Representing Real World Knowledge.,,,1979.
fahlman1979a,Scott E. Fahlman.,NETL: A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,S. Fahlman.,NETL: A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,Scott E Fahlman.,"NETL, A System For Representing And Using Real-World Knowledge.",,,1979.
fahlman1979a,Fahlman,"""NETL: A System for Representing and Using Real World Knowledge"",",,,1979.
fahlman1979a,S. Fahlman.,NETL: A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,S. E. Fahlman.,NETL: A System for Representing and Using Real-World Knowledge.,,,1977.
fahlman1979a,S.E. Fahlman.,"NETL: A System for Representing and Using Real World Knowledge,",,,1979.
fahlman1979a,S.E. Fahlman.,NETL: A system for representing and using real-world knowledge.,,,1979.
fahlman1979a,S. Fahlman,"NETL: A System for Representing and Using Real World Knowledge,",,,1979.
fahlman1979a,S. Fahlman.,NETL: A System for Representing and Using Real-World Knowledge.,,,1979.
fahlman1979a,Scott E. Fahlman.,Netl: A System For Representing And Using Real-World Knowledge.,,,1979.
fahlman1980a,Scott E. Fahlman.,Design sketch for a million-element netl machine.,In The First Annual Conference on Artificial Intelligence. AAAI,,August 1980.
fahlman1981a,Fahlman,"""Representing Implicit Knowledge.""",Parallel Models of Associative Memory.,,(1981).
fahlman1981b,Fahlman S; Touretzky D and van Roggen W,"Cancellation in a Parallel Semantic Network,",In Proc IJCAI-81,,
fahlman1985a,Scott E. Fahlman.,Extended abstract:,Parallel processing in artificial intelligence. Parallel Computing,2,1985.
fahlman1987a,Fahlman; S. and Hinton,Connectionist architectures for artificial intelligence.,Computer,20,(1987).
fahlman1987a,Scott E Fahlman and Geoffrey E Hinton.,Connectionist Architectures for Artificial Intelligence.,Computer,20(1),January 1987.
fahlman1987a,Fahlman; S. and Hinton,Connectionist Architectures for Artificial Intelligence.,Computer,20,(1987).
fahlman1988a,S. E. Fahlman,"""Faster-Learning Variations on Back-Propagation: An Empirical Study,""",Proc. of the 1988 Connectionist Models Summer School,,1989.
fahlman1988a,Fahlman,Faster-learning variations on backpropagation: An empirical study.,Proc. of the Connectionist Model Summer School.,,(1988).
fahlman1988a,Fahlman,Faster-learning variations on back-propagation.,T.,,(1988).
fahlman1988a,Fahlman,Faster-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,(1989).
fahlman1988a,Fahlman,Faster learning variations on backpropagation: An empirical study.,In Proc. 1988 Connectionist Models Summer School.,,(1988)
fahlman1988a,Fahlman,"`Fast-learning variations on back-propagation: An empirical study',",Proc. 1988 Connectionist Models Summer School,,(1989)
fahlman1988a,Fahlman,Fast-Learning Variations on BackPropagation: An Empirical Study.,Proceedings of the 1988 Connectionist Models Summer School.,,(1988).
fahlman1988a,Fahlman,Fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989.
fahlman1988a,Fahlman,Fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989.
fahlman1988a,Fahlman,Fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989.
fahlman1988a,Fahlman,Fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989.
fahlman1988a,S. Fahlman.,Faster learning variations on back-propagation: An empirical study.,In Procs. of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S.E. Fahlman.,Fast-learning variations on back-propagation: An empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,
fahlman1988a,S. E. Fahlman.,Faster-learning variations on back-propagation: An empirical study.,In Proceedings of the 1988 Connectionists Models Summer School.,,1988.
fahlman1988a,Scott E. Fahlman.,Faster learning variations on back-propagation: An empirical study.,,,September 1988.
fahlman1988a,Fahlman,E . Faster-learning variations of backpropagation : An empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,Fahlman,E . Faster-learning variations of backpropagation : An empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,Fahlman,E . Faster-learning variations of backpropagation : An empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,Fahlman,Fast-learning variations on back-propagation: An empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989.
fahlman1988a,Fahlman,(1988) Faster-Learning Variations on Back-Propagation: An Empiri cal Study.,Proceedings of 1988 Connectionist Models Summer School,,
fahlman1988a,S E Fahlman.,Faster-learning variations on back-propagation: An empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S.E. Fahlman.,Faster-learning Variations on Backpropagation : An Empirical Study. In T.J.,in 1988 Connectionist Models Summer School.,,1988.
fahlman1988a,Fahlman,Faster-learning variations of backpropagation : An empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S. Fahlmann,"Faster-Learning Variations on BackPropagation: An Empirical Study,",Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S. Fahlmann,"Faster-Learning Variations on BackPropagation: An Empirical Study,",Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S.E. Fahlman,"""Faster-learning Variations on Backpropagation : An Empirical Study,""",in 1988 Connectionist Models Summer School,,1988.
fahlman1988a,Fahlman,"""Faster-Learning Variations on Back-Propagation: An Empirical Study"". In:",Proc. of the 1988 Connectionist Models Summer School,,1988
fahlman1988a,S.E. Fahlman.,Faster-learning variations on back-propagation: An empirical study.,In Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,Scott E. Fahlman,"""Faster-Learning Variations on Back-Propagation: An Empirical Study"",",in Proceedings of the 1988 Connectionist Models Summer School Pitts-burg (1988),,
fahlman1988a,S. Fahlman.,Faster-learning variations on backpropagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S. Fahlman.,Faster-learning variations on backpropagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S. Fahlman.,Faster-learning variations on back-propagation: An empirical study.,In Connectionist Models Summer School,,1988.
fahlman1988a,S. E. Fahlman,"Faster-learning variations on back-propagation: An empirical study,",in Proceedings of the 1988 Connectionist Models Summer School,,1988.
fahlman1988a,S. E. Fahlman,"Faster-learning variations on backpropagation: An empirical study,",in Proceedings of the 1988 Connectionist Models Summer School,,"1988,"
fahlman1988a,S. E. Fahlman.,Fast-learning variations on back-propagation: An empirical study.,Connectionist Models Summer School: 1988 Proceedings,,1988.
fahlman1988a,S. E.,"Fahlman (1988): Faster-Learning Variations on Back-Propagation: An Empirical Study,",in Proceedings of the 1988 Connectionist Summer School,,
fahlman1988a,S. E.,"Fahlman (1988): Faster-Learning Variations on BackPropagation: An Empirical Study,",in Proceedings of the 1988 Connectionist Models Summer School,,
fahlman1988a,Fahlman,"Fast Learning Variations on Backpropagation: An Empirical Study,",In proceedings of the 1988 Connectionist Models Summer School,,"(1989),"
fahlman1988a,Scott Fahlman,"""Faster-Learning Variations on Back Propagation: An Empirical Study,""",In Proceedings of the 1988 Connectionist Models Summer School.,,1988.
fahlman1988b,S.E. Fahlman,"An empirical study of learning speed in backpropagation networks,",,,(1988).
fahlman1988b,Scott E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,September 1988.
fahlman1988b,Fahlman S. E.,"An empirical study of learning speed in backpropagation networks,",,,(1988):
fahlman1988b,Fahlman,An empirical study of learning speed in backpropagation networks.,,,(1988)
fahlman1988b,Fahlman,"An empirical study of learning speed in back-propagation networks,",,,"(1988),"
fahlman1988b,Fahlman,An empirical study of learning speed in back-propagation networks.,,,(1988).
fahlman1988b,Fahlman,An empirical study of learning speed in backpropagation networks.,,,(1988).
fahlman1988b,Fahlman,An empirical study of learning speed in backpropagation networks.,,,(1988).
fahlman1988b,Fahlman,An empirical study of learning speed in backpropagation networks.,,,(1988).
fahlman1988b,Fahlman,An empirical study of learning speed in backpropagation networks.,,,(1988).
fahlman1988b,Fahlman,An Empirical Study of Learning Speed in Backpropagation Networks.,,,1988.
fahlman1988b,Fahlman,"(1988) An Empirical Study of Learning Speed in BackPropagation Networks (CMU-CS-88-162),",,,
fahlman1988b,Fahlman,"An empirical study of learning speed in back-propagation networks,",,,(1988)
fahlman1988b,Fahlman; Scott.,An empirical study of learning speed in back-propagation networks.,,,1988.
fahlman1988b,Fahlman; Scott.,An empirical study of learning speed in back-propagation networks.,,,1988.
fahlman1988b,Fahlman; Scott.,An empirical study of learning speed in back-propagation networks.,,,1988.
fahlman1988b,Fahlman; Scott.,An empirical study of learning speed in back-propagation networks.,,,1988.
fahlman1988b,S. E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,1988.
fahlman1988b,Fahlman,An Empirical Study of Learning Speed in Back-Propagation Networks.,In Proceedings of the 1988 Connectionist Models Summer School.,,1988.
fahlman1988b,Fahlman,An Empirical Study of Learning Speed in Back-Propagation Networks.,In Proceedings of the 1988 Connectionist Models Summer School.,,1988.
fahlman1988b,Scott E. Fahlman.,An empirical strudy of learning speed in back-propagation networks.,,,September 1988.
fahlman1988b,S. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,1988.
fahlman1988b,S. E. Fahlman,"""An Empirical Study of Learning Speed in Backpropagation Networks,""",,,(1988).
fahlman1988b,S. E. Fahlman,"""An empirical study of learning speed in back-propagation networks,""",,,June 1988.
fahlman1988b,S.E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,1988.
fahlman1988b,S. E. Fahlman,"""An Empirical Study of Learning Speed in Backpropagation Networks,""",,,(1998)
fahlman1988b,Scott E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,September 1988.
fahlman1988b,S. E. Fahlman,"An Empirical Study of Learning Speed in Back-Propagation Networks,",,,1988.
fahlman1988b,S. E. Fahlman,"An Empirical Study of Learning Speed in Back-Propagation Networks,",,,1988.
fahlman1988b,Scott E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,September 1988.
fahlman1988b,Scott E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,September 1988.
fahlman1988b,Fahlman,"An Empirical Study of Learning Speed in Back-Propagation Networks,",,,September 1988.
fahlman1988b,S. E. Fahlman.,An empirical study of learning speed in back propagation networks.,,,1988.
fahlman1988b,S.E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,June 1988.
fahlman1988b,Fahlman,"An empirical study of learning speed in backpropagation networks,",,,1988.
fahlman1988b,S. Fahlman,"""An Empirical Study of Learning Speed in Back-Propagation Networks,""",,,June 1988.
fahlman1988b,S. E. Fahlman,"""An Empirical Study of Learning Speed in Back-propagation Networks"",",,,(1988).
fahlman1988b,Fahlman,"""An empirical study of learning speed in back-propagation networks"",",,,1988.
fahlman1988b,S. E. Fahlman.,An empirical study of learning speed in backpropagation networks.,,,1988.
fahlman1988b,Scott E. Fahlman.,An empirical study of learning speed in back-propagation networks.,,,September 1988.
fahlman1988b,S. E. Fahlman,"of Learning Speed in Back-Propagation Networks,",,,"1988,"
fahlman1988b,Fahlman; Scott E.,"""An Empirical Study of Learning Speed in Back-Propagation Networks.""",,,1988.
fahlman1988b,Fahlman; Scott E.,"""An Empirical Study of Learnin g Speed in BackPropagation Networks"",Technical Report CMU-CS-88-162,",,,1988.
fahlman1988b,Scott Fahlman,"""An Empirical Study of Learning Speed in BackPropagation Networks,""",,,June 1988.
fahlman1988b,Scott Fahlman,"""An Empirical Study of Learning Speed in BackPropagation Networks,""",,,June 1988.
fahlman1988b,Scott Fahlman,"""An Empirical Study of Learning Speed in BackPropagation Networks,""",,,June 1988.
fahlman1990a,Fahlman; S.E. and Lebiere,"The Cascade-Correlation Learning Architecture,",,,1991.
fahlman1990a,S.E. Fahlman and C. Lebiere:,"The Cascade-Correlation Learning Architecture,",,,1991.
fahlman1990a,S.E. Fahlman and C. Lebiere:,"The Cascade-Correlation Learning Architecture,",,,1991.
fahlman1990a,Fahlman; S. E. and Lebiere,"The Cascade-Correlation learning architec ture,",,,"(1990),"
fahlman1990a,Fahlman; S. E. and Lebiere,"The Cascade-Correlation learning architecture,",,,"(1990),"
fahlman1990a,Fahlman; S. E. and Lebiere,The cascade-correlation learning architecture.,,,(1990).
fahlman1990a,Fahlman; S. E. and Lebiere,The Cascade-Correlation learning architecture.,,,(1990).
fahlman1990a,Fahlman; S. E. and Lebiere,The Cascade-Correlation learning architecture.,,,(1990).
fahlman1990a,Fahlman; S. E. and Lebiere,The Cascade-correlation Learning Architecture.,,,(1990).
fahlman1990a,Fahlman; S. E. and Lebiere,The Cascade-correlation Learning Architecture.,,,(1990).
fahlman1990a,Fahlman; and Lebiere,Cascade-correlation learning architecture,,,(1989).
fahlman1990a,Fahlman; and Lebiere,Cascade-correlation learning architecture,,,(1989).
fahlman1990a,Fahlman; and Lebiere,Cascade-correlation learning architecture,,,(1989).
fahlman1990a,Fahlman; and Lebiere,The cascade-correlation learning architecture.,,,(1990).
fahlman1990a,Fahlman; and Lebiere,The cascade-correlation learning architecture.,,,(1990).
fahlman1990a,S. E. Fahlman and C. Lebiere.,The cascade-correlation learning architecture.,,,1990.
fahlman1990a,Fahlman S. E.; Lebiere C.,"The cascade-correlation learning architecture,",,,1990.
fahlman1990a,Fahlman; S. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990).
fahlman1990a,S. E. Fahlman and C. Lebiere,"The Cascade-Correlation learning architecture,",,,1990.
fahlman1990a,S. E. Fahlman and C. Lebiere.,The cascade-correlation learning architecture.,,,1990.
fahlman1990a,S. E. Fahlman and C. Lebiere,"""The Cascade-Correlation Learning Architecture"",",,,1990
fahlman1990a,Fahlman; S. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990).
fahlman1990a,Scott E. Fahlman and Christian Lebiere.,The Cascade-Correlation learning architecture.,,,February 1990.
fahlman1990a,Fahlman; and Lebiere,The Cascade-Correlation learning architecture.,,,Feb. 1990.
fahlman1990a,Fahlman; and Lebiere,The Cascade-Correlation learning architecture.,,,Feb. 1990.
fahlman1990a,Fahlman; and Lebiere,The Cascade-Correlation learning architecture.,,,Feb. 1990.
fahlman1990a,Fahlman; and Lebiere,The Cascade-Correlation learning architecture.,,,Feb. 1990.
fahlman1990a,Fahlman; and Lebiere,The Cascade-Correlation learning architecture.,,,Feb. 1990.
fahlman1990a,S.E. Fahlman and C. Lebiere.,The cascade-correlation learning architecture.,,,1990.
fahlman1990a,S. E. Fahlman and C. Lebiere,"The Cascade-Correlation Learning Architecture,",,,1991.
fahlman1990a,S. E. Fahlman and C. Lebiere,"The Cascade-Correlation Learning Architecture,",,,1991.
fahlman1990a,Fahlman; Lebiere,"The Cascade-Correlation Learning Architecture,",,,August 1991.
fahlman1990a,S. Fahlman and C. Lebiere,"The casade-correlation learning architecture,",,,Feb 1990.
fahlman1990a,S. E. Fahlman and C. Lebiere,"""The Cascade Correlation Learning Architecture"",",,,(1990).
fahlman1990a,Fahlman; S. E. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990)
fahlman1990a,Fahlman; S. and Lebiere,"""The Cascade-Correlation Learning Architecture"".",,,1990
fahlman1990a,Fahlman; S. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990).
fahlman1990a,Scott E. Fahlman and Christian Lebiere.,The cascade-correlation learning architecture.,,,February 1990.
fahlman1990a,S. E. Fahlman and Christian Lebiere.,The cascade-correlation learning architecture.,,,"February, 1990."
fahlman1990a,S. Fahlman and C. Lebiere,"""The Cascade-Correlation Learning Architecture,""",,,February 1990.
fahlman1990a,Fahlman; S. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990).
fahlman1990a,Fahlman; S. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990).
fahlman1990a,Fahlman; S. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990).
fahlman1990a,S. Fahlman and C. Lebiere,"""The cascade-correlation learning architecture,""",,,February 1990.
fahlman1990a,S.E. Fahlman and C. Lebiere.,The cascade-correlation learning architecture.,,,August 1991.
fahlman1990a,Fahlman; S. and Lebiere,The Cascade-Correlation Learning Architecture.,,,(1990).
fahlman1990a,S. E. Fahlman and C. Lebiere.,The cascade-correlation learning architecture.,,,1990.
fahlman1990a,S. E. Fahlman and C. Lebiere.,The cascade-correlation learning architecture.,,,1990.
fahlman1990a,S. E. Fahlman and C. Lebiere.,The cascade-correlation learning architecture.,,,1990.
fahlman1990a,Scott E. Fahlman and Christian Lebiere.,The Cascade-Correlation learning architecture.,,,February 1990.
fahlman1990a,Fahlman; S. E. and Lebiere,The Cascade-correlation Learning Architecture.,,,(1990).
