idx1,idx2,id_1,authors_1,title_1,venue_name_1,venue_vol_1,venue_date_1,blocking_key_1,id_2,authors_2,title_2,venue_name_2,venue_vol_2,venue_date_2,blocking_key_2,authors_sim,title_sim,venue_date_eq,match_predito,match_verdadeiro
44,42,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,1.0,1.0,1,1,1
44,43,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,1.0,1.0,1,1,1
45,42,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,1.0,1.0,1,1,1
45,43,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,1.0,1.0,1,1,1
45,44,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F231F4341995,1.0,1.0,1,1,1
47,46,fahle1997a,fahle,"specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),1997.0,S121F4001997,fahle1997a,fahle,"specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),1997.0,S121F4001997,1.0,1.0,1,1,1
49,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
50,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
50,49,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
51,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
51,49,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
51,50,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
52,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
52,49,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
52,50,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
52,51,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A212L5631993,1.0,1.0,1,1,1
54,53,fahlman1974a,s. fahlman,"""a planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974.0,"""145S1451974",fahlman1974a,s. fahlman,"""a planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974.0,"""145S1451974",1.0,1.0,1,1,1
56,55,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A145S3431974,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A145S3431974,1.0,1.0,1,1,1
58,57,fahlman1974a,fahlman,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A145F4551974,fahlman1974a,fahlman,a planning system for robot construction tasks.,Artificial Intelligence,5 (1),1974.0,A145F4551974,1.0,1.0,1,1,1
60,59,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,1.0,1.0,1,1,1
61,59,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,0.9604395604395604,1.0,1,1,1
61,60,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,0.9604395604395604,1.0,1,1,1
62,59,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,0.7942857142857143,1.0,1,1,1
62,60,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,0.7942857142857143,1.0,1,1,1
62,61,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,0.9307692307692308,1.0,1,1,1
64,59,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,1.0,1.0,1,1,1
64,60,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,1.0,1.0,1,1,1
64,61,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,0.9604395604395604,1.0,1,1,1
64,62,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A145S1451974,0.7942857142857143,1.0,1,1,1
65,55,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A145S3431974,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A145S3431974,1.0,1.0,1,1,1
65,56,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A145S3431974,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A145S3431974,1.0,1.0,1,1,1
68,66,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
69,66,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
69,68,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,1.0,1,1,1
70,66,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
70,68,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,1.0,1,1,1
70,69,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,1.0,1,1,1
71,66,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
71,68,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
71,69,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
71,70,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
72,66,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
72,68,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
72,69,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
72,70,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
72,71,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,1.0,1,1,1
73,66,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
73,68,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
73,69,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
73,70,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9839733742959548,1,1,1
73,71,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,1.0,1,1,1
73,72,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,1.0,1,1,1
74,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
74,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
74,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
74,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
74,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
74,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
74,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
75,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
75,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
75,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
75,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
75,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
75,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
75,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
75,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
76,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
76,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
76,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
76,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
76,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
76,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
76,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
76,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
76,75,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
77,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.968,1,1,1
77,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9621587301587302,1,1,1
77,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9621587301587302,1,1,1
77,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9621587301587302,1,1,1
77,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9460296979006656,1,1,1
77,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9460296979006656,1,1,1
77,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9460296979006656,1,1,1
77,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.968,1,1,1
77,75,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.968,1,1,1
77,76,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,0.968,1,1,1
78,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
78,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
78,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
78,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N342F4551979,1.0,0.9936507936507936,1,1,1
78,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
78,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
78,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N342F4551979,1.0,0.9774655217278168,1,1,1
78,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
78,75,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
78,76,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,1.0,1.0,1,1,1
78,77,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N342F4551979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N342F4551979,1.0,0.968,1,1,1
