idx1,idx2,id_1,authors_1,title_1,venue_name_1,venue_vol_1,venue_date_1,blocking_key_1,id_2,authors_2,title_2,venue_name_2,venue_vol_2,venue_date_2,blocking_key_2
41,40,fahle1993a,fahle; m. and edelman,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33,1993.0,L5F41993,fahle1993a,fahle; m. and edelman,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33,1993.0,L5F41993
43,42,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995
44,42,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995
44,43,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995
45,42,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995
45,43,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995
45,44,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995,fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995.0,F2F41995
47,46,fahle1997a,fahle,"specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),1997.0,S1F41997,fahle1997a,fahle,"specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),1997.0,S1F41997
49,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
50,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
50,49,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
51,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
51,49,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
51,50,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
52,48,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
52,49,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
52,50,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
52,51,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993,fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993.0,A2L51993
54,53,fahlman1974a,s. fahlman,"""a planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974.0,"""1S11974",fahlman1974a,s. fahlman,"""a planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974.0,"""1S11974"
56,55,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A1S31974,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A1S31974
58,57,fahlman1974a,fahlman,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A1F41974,fahlman1974a,fahlman,a planning system for robot construction tasks.,Artificial Intelligence,5 (1),1974.0,A1F41974
60,59,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
61,59,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
61,60,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
62,59,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
62,60,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
62,61,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
63,59,fahlman1974a,s. f. fahlman.,a planning system for robot construction tasks.,Artifical Intel-lignece 5:pp.,,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
63,60,fahlman1974a,s. f. fahlman.,a planning system for robot construction tasks.,Artifical Intel-lignece 5:pp.,,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
63,61,fahlman1974a,s. f. fahlman.,a planning system for robot construction tasks.,Artifical Intel-lignece 5:pp.,,1974.0,A1S11974,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
63,62,fahlman1974a,s. f. fahlman.,a planning system for robot construction tasks.,Artifical Intel-lignece 5:pp.,,1974.0,A1S11974,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
64,59,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
64,60,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
64,61,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
64,62,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974
64,63,fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974.0,A1S11974,fahlman1974a,s. f. fahlman.,a planning system for robot construction tasks.,Artifical Intel-lignece 5:pp.,,1974.0,A1S11974
65,55,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A1S31974,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A1S31974
65,56,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A1S31974,fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974.0,A1S31974
68,66,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
69,66,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
69,68,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
70,66,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
70,68,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
70,69,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
71,66,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
71,68,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
71,69,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
71,70,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
72,66,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
72,68,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
72,69,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
72,70,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
72,71,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
73,66,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
73,68,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
73,69,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
73,70,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
73,71,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
73,72,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
74,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
74,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
74,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
74,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
74,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
74,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
74,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
75,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
75,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
75,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
75,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
75,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
75,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
75,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
75,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
76,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
76,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
76,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
76,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
76,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
76,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
76,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
76,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
76,75,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
77,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
77,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
77,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
77,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
77,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
77,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
77,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
77,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
77,75,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
77,76,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
78,66,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
78,68,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
78,69,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
78,70,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
78,71,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
78,72,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
78,73,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
78,74,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
78,75,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
78,76,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
78,77,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979.0,N3F41979
79,66,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979.0,N3F41979
79,68,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
79,69,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
79,70,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979.0,N3F41979
79,71,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979,fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979.0,N3F41979
