id,authors,title,venue_name,venue_vol,venue_date,blocking_key
dill1997b,m. dill and m.,fahle the role of visual field position in pattern-discrimination learning.,Proceedings of the Royal Society London B (in press).,,1997,F436M3451997
dutta1988a,dutta; s. and shekhar,bond rating: a non-conservative application of neural networks.,In International Joint Conference on Neural Networks,volume 2,1988,B536D3251988
fahle1981a,m. fahle and t. poggio.,visual hyperacuity: spatiotemporal interpolation in human vision.,Proceedings of the Royal Society of London B,213,1981,V241M1451981
fahle1991a,fahle,"(1991) parallel perception of vernier offsets, curvature, and chevrons in humans.",Vis. Res.,31:,,
fahle1992a,fahle; m. w. and edelman,learning in hyperacuity: influence of stimulus range and of feedback.,Vision Research.,,1992,L655F4551992
fahle1993a,m fahle and s edelman.,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33(3),1993,L523M1451993
fahle1993a,fahle; m. and edelman,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33,1993,L523F4551993
fahle1993a,fahle; m. and edelman,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.",Vision Research,33,1993,L523F4551993
fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995,F231F4341995
fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995,F231F4341995
fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995,F231F4341995
fahle1995a,fahle; edelman; and poggio,fast perceptual learning in hyperacuity.,Vision Research,35,1995,F231F4341995
fahle1997a,fahle,"specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),1997,S121F4001997
fahle1997a,fahle,"specificity of learning curvature, orientation, and vernier discriminations.",Vision Research,37(14),1997,S121F4001997
fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993,A212L5631993
fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993,A212L5631993
fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993,A212L5631993
fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993,A212L5631993
fahlen1993a,lennart e. fahlen; charles grant brown; olov stahl; and christer carlsson.,a space based model for user interaction in shared synthetic environments.,In Proceedings of Interchi '93,,1993,A212L5631993
fahlman1974a,s. fahlman,"""a planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974,"""145S1451974"
fahlman1974a,s. fahlman,"""a planning system for robot construction tasks,""",Artificial Intelligence,vol. 5,1974,"""145S1451974"
fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974,A145S3431974
fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974,A145S3431974
fahlman1974a,fahlman,a planning system for robot construction tasks.,Artificial Intelligence,5 (1),1974,A145F4551974
fahlman1974a,fahlman,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974,A145F4551974
fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974,A145S1451974
fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974,A145S1451974
fahlman1974a,s.e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974,A145S1451974
fahlman1974a,s fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974,A145S1451974
fahlman1974a,s. f. fahlman.,a planning system for robot construction tasks.,Artifical Intel-lignece 5:pp.,,1974,A145S1141974
fahlman1974a,s. e. fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5,1974,A145S1451974
fahlman1974a,scott elliott fahlman.,a planning system for robot construction tasks.,Artificial Intelligence,5(1),1974,A145S3431974
fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979,N342F4551979
fahlman1979a,s. e. fahlman.,netl: a system for representing and using real world knowledge.,,,1979,N342S1451979
fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979,N342F4551979
fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979,N342F4551979
fahlman1979a,fahlman,netl: a system for representing and using real world knowledge.,,,1979,N342F4551979
fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979,N342F4551979
fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979,N342F4551979
fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979,N342F4551979
fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979,N342F4551979
fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979,N342F4551979
fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979,N342F4551979
fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge, cam-bridge:",,,1979,N342F4551979
fahlman1979a,fahlman,"netl: a system for representing and using real world knowledge,",,,1979,N342F4551979
fahlman1979a,fahlman,netl: a system for representing and using real-world knowledge.,,,1979,N342F4551979
fahlman1979a,scott e. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S3141979
fahlman1979a,s. e. fahlman.,netl : a system for representing and using real-world knowledge.,,,1979,N342S1451979
fahlman1979a,s.e. fahlman.,"netl: a system for representing real-world knowledge,",,,,
fahlman1979a,scott e. fahlman.,a system for representing and using real-world knowledge.,,,1979,A223S3141979
fahlman1979a,scott e. fahlman.,a system for representing and using real-world knowledge.,,,1979,A223S3141979
fahlman1979a,scott e. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S3141979
fahlman1979a,s. fahlman,netl: a system for representing and using real-world knowledge.,,,1979,N342S1451979
fahlman1979a,scott e. fahlman.,netl: a system for representing real world knowledge.,,,1979,N342S3141979
fahlman1979a,scott e. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S3141979
fahlman1979a,s. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S1451979
fahlman1979a,scott e fahlman.,"netl, a system for representing and using real-world knowledge.",,,1979,N342S3141979
fahlman1979a,fahlman,"""netl: a system for representing and using real world knowledge"",",,,1979,"""534F4551979"
fahlman1979a,s. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S1451979
fahlman1979a,s. e. fahlman.,netl: a system for representing and using real-world knowledge.,,,1977,N342S1451977
fahlman1979a,s.e. fahlman.,"netl: a system for representing and using real world knowledge,",,,1979,N342S1451979
fahlman1979a,s.e. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S1451979
fahlman1979a,s. fahlman,"netl: a system for representing and using real world knowledge,",,,1979,N342S1451979
fahlman1979a,s. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S1451979
fahlman1979a,scott e. fahlman.,netl: a system for representing and using real-world knowledge.,,,1979,N342S3141979
fahlman1980a,scott e. fahlman.,design sketch for a million-element netl machine.,In The First Annual Conference on Artificial Intelligence. AAAI,,1980,D225S3141980
fahlman1981a,fahlman,"""representing implicit knowledge.""",Parallel Models of Associative Memory.,,1981,"""616F4551981"
fahlman1981b,fahlman s; touretzky d and van roggen w,"cancellation in a parallel semantic network,",In Proc IJCAI-81,,,
fahlman1985a,scott e. fahlman.,extended abstract:,Parallel processing in artificial intelligence. Parallel Computing,2,1985,E235S3141985
fahlman1987a,fahlman; s. and hinton,connectionist architectures for artificial intelligence.,Computer,20,1987,C523F4551987
fahlman1987a,scott e fahlman and geoffrey e hinton.,connectionist architectures for artificial intelligence.,Computer,20(1),1987,C523S3141987
fahlman1987a,fahlman; s. and hinton,connectionist architectures for artificial intelligence.,Computer,20,1987,C523F4551987
fahlman1988a,s. e. fahlman,"""faster-learning variations on back-propagation: an empirical study,""",Proc. of the 1988 Connectionist Models Summer School,,1989,"""123S1451989"
fahlman1988a,fahlman,faster-learning variations on backpropagation: an empirical study.,Proc. of the Connectionist Model Summer School.,,1988,F236F4551988
fahlman1988a,fahlman,faster-learning variations on back-propagation.,T.,,1988,F236F4551988
fahlman1988a,fahlman,faster-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989,F236F4551989
fahlman1988a,fahlman,faster learning variations on backpropagation: an empirical study.,In Proc. 1988 Connectionist Models Summer School.,,1988,F236F4551988
fahlman1988a,fahlman,"`fast-learning variations on back-propagation: an empirical study',",Proc. 1988 Connectionist Models Summer School,,1989,`123F4551989
fahlman1988a,fahlman,fast-learning variations on backpropagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School.,,1988,F234F4551988
fahlman1988a,fahlman,fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989,F234F4551989
fahlman1988a,fahlman,fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989,F234F4551989
fahlman1988a,fahlman,fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989,F234F4551989
fahlman1988a,fahlman,fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989,F234F4551989
fahlman1988a,s. fahlman.,faster learning variations on back-propagation: an empirical study.,In Procs. of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s.e. fahlman.,fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,,
fahlman1988a,s. e. fahlman.,faster-learning variations on back-propagation: an empirical study.,In Proceedings of the 1988 Connectionists Models Summer School.,,1988,F236S1451988
fahlman1988a,scott e. fahlman.,faster learning variations on back-propagation: an empirical study.,,,1988,F236S3141988
fahlman1988a,fahlman,e . faster-learning variations of backpropagation : an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988,E123F4551988
fahlman1988a,fahlman,e . faster-learning variations of backpropagation : an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988,E123F4551988
fahlman1988a,fahlman,e . faster-learning variations of backpropagation : an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988,E123F4551988
fahlman1988a,fahlman,fast-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1989,F234F4551989
fahlman1988a,fahlman,(1988) faster-learning variations on back-propagation: an empiri cal study.,Proceedings of 1988 Connectionist Models Summer School,,,
fahlman1988a,s e fahlman.,faster-learning variations on back-propagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s.e. fahlman.,faster-learning variations on backpropagation : an empirical study. in t.j.,in 1988 Connectionist Models Summer School.,,1988,F236S1451988
fahlman1988a,fahlman,faster-learning variations of backpropagation : an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988,F236F4551988
fahlman1988a,s. fahlmann,"faster-learning variations on backpropagation: an empirical study,",Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s. fahlmann,"faster-learning variations on backpropagation: an empirical study,",Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s.e. fahlman,"""faster-learning variations on backpropagation : an empirical study,""",in 1988 Connectionist Models Summer School,,1988,"""123S1451988"
fahlman1988a,fahlman,"""faster-learning variations on back-propagation: an empirical study"". in:",Proc. of the 1988 Connectionist Models Summer School,,1988,"""123F4551988"
fahlman1988a,s.e. fahlman.,faster-learning variations on back-propagation: an empirical study.,In Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,scott e. fahlman,"""faster-learning variations on back-propagation: an empirical study"",",in Proceedings of the 1988 Connectionist Models Summer School Pitts-burg (1988),,,
fahlman1988a,s. fahlman.,faster-learning variations on backpropagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s. fahlman.,faster-learning variations on backpropagation: an empirical study.,Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s. fahlman.,faster-learning variations on back-propagation: an empirical study.,In Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s. e. fahlman,"faster-learning variations on back-propagation: an empirical study,",in Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s. e. fahlman,"faster-learning variations on backpropagation: an empirical study,",in Proceedings of the 1988 Connectionist Models Summer School,,1988,F236S1451988
fahlman1988a,s. e. fahlman.,fast-learning variations on back-propagation: an empirical study.,Connectionist Models Summer School: 1988 Proceedings,,1988,F234S1451988
fahlman1988a,s. e.,"fahlman (1988): faster-learning variations on back-propagation: an empirical study,",in Proceedings of the 1988 Connectionist Summer School,,,
fahlman1988a,s. e.,"fahlman (1988): faster-learning variations on backpropagation: an empirical study,",in Proceedings of the 1988 Connectionist Models Summer School,,,
fahlman1988a,fahlman,"fast learning variations on backpropagation: an empirical study,",In proceedings of the 1988 Connectionist Models Summer School,,1989,F234F4551989
fahlman1988a,scott fahlman,"""faster-learning variations on back propagation: an empirical study,""",In Proceedings of the 1988 Connectionist Models Summer School.,,1988,"""123S3141988"
fahlman1988b,s.e. fahlman,"an empirical study of learning speed in backpropagation networks,",,,1988,A551S1451988
fahlman1988b,scott e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S3141988
fahlman1988b,fahlman s. e.,"an empirical study of learning speed in backpropagation networks,",,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in backpropagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman,"an empirical study of learning speed in back-propagation networks,",,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in back-propagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in backpropagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in backpropagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in backpropagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in backpropagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in backpropagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman,"(1988) an empirical study of learning speed in backpropagation networks (cmu-cs-88-162),",,,,
fahlman1988b,fahlman,"an empirical study of learning speed in back-propagation networks,",,,1988,A551F4551988
fahlman1988b,fahlman; scott.,an empirical study of learning speed in back-propagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman; scott.,an empirical study of learning speed in back-propagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman; scott.,an empirical study of learning speed in back-propagation networks.,,,1988,A551F4551988
fahlman1988b,fahlman; scott.,an empirical study of learning speed in back-propagation networks.,,,1988,A551F4551988
fahlman1988b,s. e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S1451988
fahlman1988b,fahlman,an empirical study of learning speed in back-propagation networks.,In Proceedings of the 1988 Connectionist Models Summer School.,,1988,A551F4551988
fahlman1988b,fahlman,an empirical study of learning speed in back-propagation networks.,In Proceedings of the 1988 Connectionist Models Summer School.,,1988,A551F4551988
fahlman1988b,scott e. fahlman.,an empirical strudy of learning speed in back-propagation networks.,,,1988,A551S3141988
fahlman1988b,s. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S1451988
fahlman1988b,s. e. fahlman,"""an empirical study of learning speed in backpropagation networks,""",,,1988,"""551S1451988"
fahlman1988b,s. e. fahlman,"""an empirical study of learning speed in back-propagation networks,""",,,1988,"""551S1451988"
fahlman1988b,s.e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S1451988
fahlman1988b,s. e. fahlman,"""an empirical study of learning speed in backpropagation networks,""",,,1998,"""551S1451998"
fahlman1988b,scott e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S3141988
fahlman1988b,s. e. fahlman,"an empirical study of learning speed in back-propagation networks,",,,1988,A551S1451988
fahlman1988b,s. e. fahlman,"an empirical study of learning speed in back-propagation networks,",,,1988,A551S1451988
fahlman1988b,scott e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S3141988
fahlman1988b,scott e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S3141988
fahlman1988b,fahlman,"an empirical study of learning speed in back-propagation networks,",,,1988,A551F4551988
fahlman1988b,s. e. fahlman.,an empirical study of learning speed in back propagation networks.,,,1988,A551S1451988
fahlman1988b,s.e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S1451988
fahlman1988b,fahlman,"an empirical study of learning speed in backpropagation networks,",,,1988,A551F4551988
fahlman1988b,s. fahlman,"""an empirical study of learning speed in back-propagation networks,""",,,1988,"""551S1451988"
fahlman1988b,s. e. fahlman,"""an empirical study of learning speed in back-propagation networks"",",,,1988,"""551S1451988"
fahlman1988b,fahlman,"""an empirical study of learning speed in back-propagation networks"",",,,1988,"""551F4551988"
fahlman1988b,s. e. fahlman.,an empirical study of learning speed in backpropagation networks.,,,1988,A551S1451988
fahlman1988b,scott e. fahlman.,an empirical study of learning speed in back-propagation networks.,,,1988,A551S3141988
fahlman1988b,s. e. fahlman,"of learning speed in back-propagation networks,",,,1988,O146S1451988
fahlman1988b,fahlman; scott e.,"""an empirical study of learning speed in back-propagation networks.""",,,1988,"""551F4551988"
fahlman1988b,fahlman; scott e.,"""an empirical study of learnin g speed in backpropagation networks"",technical report cmu-cs-88-162,",,,1988,"""551F4551988"
fahlman1988b,scott fahlman,"""an empirical study of learning speed in backpropagation networks,""",,,1988,"""551S3141988"
fahlman1988b,scott fahlman,"""an empirical study of learning speed in backpropagation networks,""",,,1988,"""551S3141988"
fahlman1988b,scott fahlman,"""an empirical study of learning speed in backpropagation networks,""",,,1988,"""551S3141988"
fahlman1990a,fahlman; s.e. and lebiere,"the cascade-correlation learning architecture,",,,1991,T223F4551991
fahlman1990a,s.e. fahlman and c. lebiere:,"the cascade-correlation learning architecture,",,,1991,T223S1451991
fahlman1990a,s.e. fahlman and c. lebiere:,"the cascade-correlation learning architecture,",,,1991,T223S1451991
fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architec ture,",,,1990,T223F4551990
fahlman1990a,fahlman; s. e. and lebiere,"the cascade-correlation learning architecture,",,,1990,T223F4551990
fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; and lebiere,cascade-correlation learning architecture,,,1989,C232F4551989
fahlman1990a,fahlman; and lebiere,cascade-correlation learning architecture,,,1989,C232F4551989
fahlman1990a,fahlman; and lebiere,cascade-correlation learning architecture,,,1989,C232F4551989
fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,s. e. fahlman and c. lebiere.,the cascade-correlation learning architecture.,,,1990,T223S1451990
fahlman1990a,fahlman s. e.; lebiere c.,"the cascade-correlation learning architecture,",,,1990,T223F4551990
fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,s. e. fahlman and c. lebiere,"the cascade-correlation learning architecture,",,,1990,T223S1451990
fahlman1990a,s. e. fahlman and c. lebiere.,the cascade-correlation learning architecture.,,,1990,T223S1451990
fahlman1990a,s. e. fahlman and c. lebiere,"""the cascade-correlation learning architecture"",",,,1990,"""322S1451990"
fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,scott e. fahlman and christian lebiere.,the cascade-correlation learning architecture.,,,1990,T223S3141990
fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,s.e. fahlman and c. lebiere.,the cascade-correlation learning architecture.,,,1990,T223S1451990
fahlman1990a,s. e. fahlman and c. lebiere,"the cascade-correlation learning architecture,",,,1991,T223S1451991
fahlman1990a,s. e. fahlman and c. lebiere,"the cascade-correlation learning architecture,",,,1991,T223S1451991
fahlman1990a,fahlman; lebiere,"the cascade-correlation learning architecture,",,,1991,T223F4551991
fahlman1990a,s. fahlman and c. lebiere,"the casade-correlation learning architecture,",,,1990,T223S1451990
fahlman1990a,s. e. fahlman and c. lebiere,"""the cascade correlation learning architecture"",",,,1990,"""322S1451990"
fahlman1990a,fahlman; s. e. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; s. and lebiere,"""the cascade-correlation learning architecture"".",,,1990,"""322F4551990"
fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,scott e. fahlman and christian lebiere.,the cascade-correlation learning architecture.,,,1990,T223S3141990
fahlman1990a,s. e. fahlman and christian lebiere.,the cascade-correlation learning architecture.,,,1990,T223S1451990
fahlman1990a,s. fahlman and c. lebiere,"""the cascade-correlation learning architecture,""",,,1990,"""322S1451990"
fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,s. fahlman and c. lebiere,"""the cascade-correlation learning architecture,""",,,1990,"""322S1451990"
fahlman1990a,s.e. fahlman and c. lebiere.,the cascade-correlation learning architecture.,,,1991,T223S1451991
fahlman1990a,fahlman; s. and lebiere,the cascade-correlation learning architecture.,,,1990,T223F4551990
fahlman1990a,s. e. fahlman and c. lebiere.,the cascade-correlation learning architecture.,,,1990,T223S1451990
fahlman1990a,s. e. fahlman and c. lebiere.,the cascade-correlation learning architecture.,,,1990,T223S1451990
fahlman1990a,s. e. fahlman and c. lebiere.,the cascade-correlation learning architecture.,,,1990,T223S1451990
fahlman1990a,scott e. fahlman and christian lebiere.,the cascade-correlation learning architecture.,,,1990,T223S3141990
